,negative,positive,neutral
lethal,1,0,0
lethargic,0,0,1
lethargy,1,0,0
letter,0,0,1
lettered,0,1,0
letters,0,0,1
lettuce,0,0,1
leukemia,1,0,0
levee,0,0,1
level,0,1,0
lever,0,0,1
leverage,0,1,0
levy,1,0,0
lewd,1,0,0
lexicon,0,0,1
ley,0,0,1
liabilities,0,0,1
liability,0,0,1
liaison,1,0,0
liar,1,0,0
libel,1,0,0
libelous,0,0,1
liberal,1,1,0
liberalism,0,0,1
liberate,0,1,0
liberation,0,1,0
liberty,0,1,0
libido,0,0,1
librarian,0,0,1
library,0,1,0
libretto,0,0,1
license,0,0,1
lichen,0,0,1
lick,1,0,0
lid,0,0,1
lie,1,0,0
liege,0,0,1
lien,0,0,1
lieu,0,0,1
lieutenant,0,0,1
life,0,0,1
lifeblood,0,1,0
lifeboat,0,0,1
lifeless,1,0,0
lifelike,0,0,1
lifelong,0,0,1
lifetime,0,0,1
lift,0,0,1
ligament,0,0,1
ligation,0,0,1
light,0,0,1
lighten,0,0,1
lighthouse,0,1,0
lightness,0,0,1
lightning,0,0,1
likelihood,0,0,1
likeness,0,0,1
likewise,0,0,1
liking,0,1,0
lilac,0,0,1
lily,0,0,1
limb,0,0,1
limbo,0,0,1
limit,0,0,1
limitation,0,0,1
limited,1,0,0
limitless,0,0,1
limousine,0,0,1
limp,1,0,0
lin,0,0,1
line,0,0,1
lineage,0,0,1
lineal,0,0,1
linear,0,0,1
lined,0,0,1
linen,0,0,1
liner,0,0,1
lines,0,0,1
linger,0,0,1
lingo,0,0,1
lingual,0,0,1
linguist,0,1,0
linguistic,0,0,1
linguistics,0,0,1
lining,0,0,1
link,0,0,1
linoleum,0,0,1
lint,1,0,0
lion,0,1,0
lip,0,0,1
lipstick,0,0,1
liquefaction,0,0,1
liquefied,0,0,1
liqueur,0,0,1
liquid,0,0,1
liquidate,0,0,1
liquidation,0,0,1
liquidator,0,0,1
liquidity,0,0,1
liquor,1,0,0
lisp,0,0,1
list,0,0,1
listen,0,0,1
listener,0,0,1
listing,0,0,1
listless,1,0,0
litany,0,0,1
literally,0,0,1
literary,0,0,1
literature,0,0,1
lithe,0,1,0
lithograph,0,0,1
lithography,0,0,1
lithology,0,0,1
lithosphere,0,0,1
litigant,1,0,0
litigate,1,0,0
litigation,1,0,0
litigious,1,0,0
litter,1,0,0
littoral,0,0,1
liturgy,0,0,1
livelihood,0,0,1
livery,0,0,1
livid,1,0,0
living,0,0,1
llama,0,0,1
load,0,0,1
loaf,1,0,0
loafer,1,0,0
loam,0,0,1
loan,0,0,1
loath,1,0,0
loathe,1,0,0
loathing,1,0,0
loathsome,1,0,0
lobby,0,0,1
lobbyist,1,0,0
lobe,0,0,1
local,0,0,1
locale,0,0,1
locality,0,0,1
localization,0,0,1
localize,0,0,1
locate,0,0,1
location,0,0,1
loch,0,0,1
lock,0,0,1
locker,0,0,1
locksmith,0,0,1
lockup,1,0,0
locomotion,0,0,1
locomotive,0,0,1
locust,1,0,0
lodge,0,0,1
lodger,0,0,1
lodging,0,0,1
loft,0,0,1
lofty,1,0,0
log,0,0,1
logarithm,0,0,1
logarithmic,0,0,1
logic,0,0,1
logical,0,1,0
logistics,0,0,1
logotype,0,0,1
loin,0,0,1
lollipop,0,0,1
lone,0,0,1
loneliness,1,0,0
lonely,1,0,0
lonesome,1,0,0
long,0,0,1
longevity,0,1,0
longing,0,0,1
longitude,0,0,1
longitudinal,0,0,1
longitudinally,0,0,1
loo,1,0,0
lookout,0,0,1
loom,1,0,0
looming,0,0,1
loon,1,0,0
loony,1,0,0
loop,0,0,1
loophole,0,0,1
loosen,0,0,1
loosening,0,0,1
loot,1,0,0
lop,0,0,1
lopsided,0,0,1
lord,1,1,0
lords,0,0,1
lordship,0,1,0
lore,0,0,1
lorry,0,0,1
lose,1,0,0
losing,1,0,0
loss,1,0,0
lost,1,0,0
lot,0,0,1
lotion,0,0,1
lots,0,0,1
lottery,0,0,1
lotto,0,0,1
loud,0,0,1
loudly,0,0,1
loudness,1,0,0
lounge,1,0,0
louse,1,0,0
lovable,0,1,0
love,0,1,0
lovely,0,1,0
lovemaking,0,1,0
lover,0,1,0
loving,0,1,0
lower,1,0,0
lowering,1,0,0
lowest,1,0,0
lowlands,1,0,0
lowly,1,0,0
loyal,0,1,0
loyalty,0,1,0
lubricate,0,0,1
lubrication,0,0,1
luck,0,1,0
lucky,0,1,0
ludicrous,1,0,0
lug,0,0,1
luggage,0,0,1
lull,0,0,1
lullaby,0,0,1
lumbar,0,0,1
lumber,0,0,1
lumbering,1,0,0
luminescent,0,0,1
luminous,0,0,1
lump,1,0,0
lumpy,1,0,0
lunacy,1,0,0
lunar,0,0,1
lunatic,1,0,0
lunch,0,0,1
luncheon,0,0,1
lunge,0,0,1
lungs,0,0,1
lurch,1,0,0
lure,1,0,0
lurid,1,0,0
lurk,1,0,0
lurking,1,0,0
luscious,0,1,0
lush,1,0,0
lust,1,0,0
luster,0,1,0
lustful,1,0,0
lustrous,0,1,0
lusty,0,0,1
lute,0,0,1
luxuriant,0,1,0
luxurious,0,1,0
luxury,0,1,0
lying,1,0,0
lymph,0,0,1
lymphatic,0,0,1
lynch,1,0,0
lynx,0,0,1
lyre,0,1,0
lyric,0,0,1
lyrical,0,1,0
mace,1,0,0
machine,0,0,1
machinery,0,0,1
machinist,0,0,1
mackerel,0,0,1
mad,1,0,0
madam,0,0,1
madame,0,0,1
madden,1,0,0
madman,1,0,0
madness,1,0,0
mafia,1,0,0
magazine,0,0,1
mage,0,0,1
magenta,0,0,1
maggot,1,0,0
magic,0,0,1
magical,0,1,0
magician,0,0,1
magistrate,0,0,1
magma,0,0,1
magnate,0,0,1
magnet,0,1,0
magnetism,0,1,0
magnetite,0,1,0
magnificence,0,1,0
magnificent,0,1,0
magnifier,0,0,1
magnify,0,0,1
magnitude,0,0,1
magpie,0,0,1
maid,0,0,1
maiden,0,1,0
mail,0,0,1
main,0,1,0
mainland,0,0,1
mainstay,0,1,0
maintenance,0,0,1
majestic,0,1,0
majesty,0,1,0
major,0,1,0
majority,0,1,0
make,0,0,1
maker,0,0,1
makeshift,1,0,0
makeup,0,0,1
malady,1,0,0
malaise,1,0,0
malaria,1,0,0
male,0,0,1
malevolent,1,0,0
malfeasance,1,0,0
malformation,1,0,0
malice,1,0,0
malicious,1,0,0
malign,1,0,0
malignancy,1,0,0
malignant,1,0,0
mall,0,0,1
malleable,0,0,1
mallet,0,0,1
malpractice,1,0,0
mamma,0,0,1
mammal,0,0,1
mammoth,0,0,1
man,0,0,1
manage,0,1,0
management,0,1,0
manager,0,0,1
mandamus,1,0,0
mandarin,0,1,0
mandate,0,0,1
mandible,0,0,1
mandolin,0,0,1
mandrel,0,0,1
mane,0,0,1
maneuver,0,0,1
maneuvering,0,0,1
mange,1,0,0
manger,0,0,1
mangle,1,0,0
mango,0,0,1
mangosteen,0,0,1
manhood,0,1,0
mania,1,0,0
maniac,1,0,0
maniacal,1,0,0
manicure,0,0,1
manifest,0,0,1
manifestation,0,0,1
manifested,0,1,0
manifestly,0,0,1
manifesto,0,0,1
manifold,0,0,1
manipulate,1,0,0
manipulation,1,0,0
mankind,0,0,1
manly,0,1,0
manna,0,1,0
manner,0,0,1
mannered,0,1,0
manners,0,1,0
manor,0,0,1
mansion,0,0,1
manslaughter,1,0,0
mantle,0,0,1
manual,0,0,1
manufacture,0,0,1
manufacturer,0,1,0
manure,1,0,0
manuscript,0,0,1
map,0,0,1
mar,1,0,0
marble,0,0,1
marbled,0,0,1
marbles,0,0,1
march,0,1,0
mare,0,0,1
margin,1,0,0
marginal,0,0,1
marijuana,0,0,1
marine,0,0,1
mariner,0,0,1
maritime,0,0,1
mark,0,0,1
marked,0,1,0
market,0,0,1
marketable,0,1,0
marketplace,0,0,1
marks,0,0,1
marl,0,0,1
marmalade,0,0,1
maroon,1,0,0
marquee,0,0,1
marquis,0,1,0
marriage,0,1,0
married,0,0,1
marrow,0,1,0
marry,0,1,0
marsh,0,0,1
marshal,0,1,0
mart,0,0,1
martial,0,0,1
martingale,1,0,0
martyr,1,0,0
martyrdom,1,0,0
marvel,0,1,0
marvelous,0,1,0
marvelously,0,1,0
masculine,0,1,0
masculinity,0,0,1
mash,0,0,1
mask,0,0,1
masochism,1,0,0
mason,0,0,1
masquerade,0,0,1
mass,0,0,1
massacre,1,0,0
massage,0,1,0
massive,0,0,1
master,0,1,0
mastermind,0,0,1
masterpiece,0,1,0
mastery,0,1,0
masturbate,0,0,1
masturbation,0,0,1
mat,0,0,1
match,0,0,1
matching,0,0,1
matchmaker,0,0,1
mate,0,1,0
material,0,0,1
materialism,1,0,0
materialist,1,0,0
materialistic,0,0,1
materiality,0,0,1
materialize,0,0,1
materially,0,0,1
materials,0,0,1
materiel,0,0,1
maternal,1,1,0
maternity,0,0,1
mathematical,0,0,1
mathematician,0,0,1
mathematics,0,0,1
matriculation,0,0,1
matrimony,0,1,0
matrix,0,0,1
matron,0,1,0
matted,0,0,1
matter,0,0,1
matting,0,0,1
mattress,0,0,1
maturation,0,0,1
maturity,0,0,1
mausoleum,0,0,1
mauve,0,0,1
maxim,0,0,1
maximum,0,1,0
mayor,0,1,0
maze,0,0,1
mead,0,0,1
meadow,0,1,0
meal,0,0,1
meander,0,0,1
meandering,1,0,0
meaning,0,0,1
meaningless,1,0,0
means,0,0,1
meantime,0,0,1
measles,1,0,0
measurable,0,0,1
measure,0,0,1
measured,0,1,0
measurement,0,0,1
measuring,0,0,1
meat,0,0,1
mechanic,0,0,1
mechanical,0,0,1
mechanism,0,0,1
medal,0,1,0
medallion,0,0,1
medallist,0,0,1
meddle,1,0,0
meddling,0,0,1
media,0,0,1
medial,0,0,1
median,0,0,1
mediate,0,1,0
mediation,0,1,0
mediator,0,1,0
medical,0,1,0
medicinal,0,0,1
medicine,0,0,1
medieval,0,0,1
mediocre,1,0,0
mediocrity,1,0,0
meditate,0,1,0
meditation,0,0,1
meditative,0,0,1
mediterranean,0,1,0
medium,0,0,1
medley,0,1,0
meek,0,0,1
meet,0,0,1
meeting,0,0,1
melancholic,1,0,0
melancholy,1,0,0
melee,1,0,0
melodious,0,0,1
melodrama,1,0,0
melodramatic,0,0,1
melody,0,0,1
melt,0,0,1
meltdown,1,0,0
melting,0,0,1
member,0,0,1
membrane,0,0,1
memento,0,1,0
memo,0,0,1
memoir,0,0,1
memorabilia,0,0,1
memorable,0,1,0
memorandum,0,0,1
memorial,0,0,1
memorials,0,0,1
memorize,0,0,1
memory,0,0,1
menace,1,0,0
menacing,1,0,0
menagerie,0,0,1
mend,0,0,1
mending,0,1,0
menial,1,0,0
meniscus,0,0,1
menses,0,1,0
menstrual,0,0,1
mental,0,0,1
mention,0,0,1
mentor,0,1,0
menu,0,0,1
meow,0,0,1
mercantile,0,0,1
mercenary,1,0,0
merchandise,0,0,1
merchant,0,0,1
merciful,0,1,0
merciless,1,0,0
mercurial,0,0,1
mercy,0,1,0
mere,0,0,1
merge,0,1,0
meridian,0,0,1
meridional,0,0,1
merit,0,1,0
meritorious,0,1,0
mermaid,0,0,1
merriment,0,1,0
merry,0,1,0
mesa,0,0,1
mesh,0,0,1
meshes,0,0,1
mesmerized,0,0,1
mess,1,0,0
message,0,0,1
messenger,0,0,1
messy,1,0,0
metabolism,0,0,1
metal,0,0,1
metallurgy,0,0,1
metamorphosis,0,0,1
metaphor,0,0,1
metaphorical,0,0,1
metaphysical,0,0,1
metaphysics,0,0,1
metastasis,1,0,0
meteor,0,0,1
meteoric,0,0,1
meteorite,0,0,1
meteorological,0,0,1
meteorology,0,0,1
meter,0,0,1
methanol,1,0,0
method,0,0,1
methodical,0,0,1
meticulous,0,0,1
metric,0,0,1
metrical,0,0,1
metrology,0,0,1
metropolis,0,0,1
metropolitan,0,1,0
mettle,0,1,0
mew,0,0,1
mica,0,0,1
mick,0,0,1
microbe,0,0,1
microbiology,0,0,1
microcosm,0,0,1
microgram,0,0,1
micrometer,0,0,1
micron,0,0,1
microphone,0,0,1
microscope,0,0,1
microscopic,0,0,1
microscopically,0,0,1
microscopy,0,1,0
mid,0,0,1
midday,0,0,1
middle,0,0,1
middleman,0,0,1
midland,0,0,1
midnight,0,0,1
midst,0,0,1
midsummer,0,0,1
midway,0,0,1
midwife,1,1,0
midwifery,0,1,0
mien,0,0,1
mighty,0,1,0
migrate,0,0,1
migration,0,0,1
migratory,0,0,1
mike,0,0,1
mildew,1,0,0
mile,0,0,1
mileage,0,0,1
milestone,0,0,1
militant,0,0,1
military,0,0,1
militia,1,0,0
milk,0,0,1
milky,0,0,1
mill,0,0,1
millennium,0,0,1
milligram,0,0,1
millimeter,0,0,1
million,0,0,1
millionaire,0,0,1
mime,0,1,0
mimic,0,0,1
mimicking,0,0,1
mimicry,1,0,0
mind,0,0,1
minded,0,0,1
mindful,0,1,0
mindfulness,0,1,0
mine,0,0,1
miner,0,0,1
mineral,0,0,1
mineralogy,0,0,1
mingle,0,0,1
mingled,0,0,1
miniature,0,0,1
minibus,0,0,1
minim,0,0,1
minimize,1,0,0
minimum,1,0,0
minister,0,0,1
ministerial,0,0,1
ministry,0,1,0
minivan,0,0,1
minnow,0,0,1
minor,0,0,1
minority,1,0,0
minstrel,0,0,1
mint,0,0,1
minuscule,0,0,1
minute,0,0,1
minutiae,0,0,1
mir,0,0,1
miracle,0,1,0
miraculous,0,1,0
mirage,0,0,1
mire,1,0,0
mirror,0,0,1
mirth,0,1,0
misappropriation,0,0,1
misbehavior,1,0,0
miscarriage,1,0,0
miscellaneous,0,0,1
miscellany,0,0,1
mischief,1,0,0
mischievous,1,0,0
misconception,1,0,0
misconduct,1,0,0
misdemeanor,0,0,1
miserable,1,0,0
miserably,1,0,0
misery,1,0,0
misfortune,1,0,0
misguided,1,0,0
mishap,1,0,0
misinformed,0,0,1
misinterpretation,1,0,0
mislead,1,0,0
misleading,1,0,0
mismanagement,1,0,0
mismatch,1,0,0
mismatched,0,0,1
misnomer,1,0,0
misplace,1,0,0
misplaced,1,0,0
misrepresent,1,0,0
misrepresentation,1,0,0
misrepresented,1,0,0
miss,0,0,1
missile,0,0,1
missing,1,0,0
mission,0,0,1
missionary,0,1,0
misstatement,1,0,0
mist,0,0,1
mistake,1,0,0
mistaken,1,0,0
mister,0,0,1
mistress,1,0,0
mistrust,1,0,0
misty,0,0,1
misunderstand,1,0,0
misunderstanding,1,0,0
misuse,1,0,0
mite,1,0,0
miter,0,0,1
mitigation,0,0,1
mix,0,0,1
mixed,0,0,1
mixture,0,0,1
moan,0,0,1
moat,0,0,1
mob,1,0,0
mobile,0,0,1
mobility,0,0,1
mobilization,0,0,1
mobilize,0,0,1
mockery,1,0,0
mocking,1,0,0
modal,0,0,1
modality,0,0,1
mode,0,0,1
model,0,1,0
modeler,0,0,1
moderate,0,1,0
moderately,0,0,1
moderating,0,0,1
moderation,0,0,1
moderator,0,1,0
modern,0,0,1
modernism,0,0,1
modest,0,1,0
modesty,0,1,0
modicum,0,0,1
modifiable,0,0,1
modification,0,0,1
modified,0,0,1
modify,0,0,1
modulate,0,0,1
modulation,0,0,1
module,0,0,1
modulus,0,0,1
mogul,0,0,1
moiety,0,0,1
moist,0,0,1
moisture,0,0,1
molar,0,0,1
molasses,0,0,1
mold,0,0,1
molded,0,0,1
molding,0,0,1
moldy,0,0,1
molecular,0,0,1
molecule,0,0,1
molestation,1,0,0
molten,0,0,1
moment,0,0,1
momentary,0,0,1
momentous,0,0,1
momentum,0,1,0
monad,0,0,1
monarch,0,0,1
monarchy,0,0,1
monastery,0,0,1
monastic,0,0,1
monetary,0,1,0
money,0,1,0
monk,0,1,0
monkey,0,0,1
monochrome,1,0,0
monogamy,0,0,1
monogram,0,0,1
monograph,0,0,1
monolayer,0,0,1
monologue,0,0,1
monopolist,1,0,0
monopoly,0,0,1
monotony,0,0,1
monsoon,1,0,0
monster,1,0,0
monstrosity,1,0,0
monte,0,0,1
month,0,0,1
monthly,0,0,1
monument,0,1,0
monumental,0,0,1
moo,0,0,1
moods,0,0,1
moody,1,0,0
moon,0,0,1
moonlight,0,0,1
moored,0,0,1
mooring,0,0,1
moorings,0,0,1
moorland,0,0,1
moose,0,0,1
moot,1,0,0
mooted,0,0,1
mop,0,0,1
moral,0,1,0
morality,0,1,0
morals,0,1,0
morass,0,0,1
moratorium,0,0,1
morbid,1,0,0
morbidity,1,0,0
morgue,1,0,0
moribund,1,0,0
morn,0,0,1
morning,0,0,1
moron,1,0,0
moronic,1,0,0
morphine,0,0,1
morphism,0,0,1
morphology,0,0,1
morrow,0,0,1
morsel,1,0,0
mortal,1,0,0
mortality,1,0,0
mortar,0,1,0
mortgage,0,0,1
mortgagee,0,0,1
mortgagor,0,0,1
mortification,1,0,0
mortuary,1,0,0
mosaic,0,0,1
mosque,0,0,1
mosquito,1,0,0
moss,0,0,1
mossy,0,0,1
mote,0,0,1
moth,0,0,1
mother,1,1,0
motherhood,0,1,0
motion,0,0,1
motionless,0,0,1
motive,0,1,0
motley,0,0,1
motor,0,0,1
motorbike,0,0,1
motorcycle,0,0,1
motte,0,0,1
mottled,0,0,1
motto,0,0,1
mould,0,0,1
mound,0,0,1
mount,0,0,1
mountain,0,0,1
mountaineer,0,0,1
mountainous,0,0,1
mourn,1,0,0
mournful,1,0,0
mourning,1,0,0
mouse,0,0,1
moustache,0,0,1
mouth,0,0,1
mouthful,0,0,1
mouthpiece,0,0,1
movable,0,1,0
move,0,0,1
movement,0,0,1
mover,0,1,0
movie,0,0,1
moving,0,0,1
mow,0,0,1
muck,1,0,0
mucous,0,0,1
mucus,0,0,1
mud,1,0,0
muddle,1,0,0
muddled,1,0,0
muddy,1,0,0
muff,1,0,0
muffled,0,0,1
muffler,0,0,1
mug,1,1,0
mule,1,0,0
multilateral,0,0,1
multiple,0,0,1
multiplex,0,0,1
multiplication,0,0,1
multiplicity,0,0,1
multiplied,0,0,1
multiplier,0,0,1
multiply,0,0,1
multitude,0,0,1
mum,1,0,0
mumble,1,0,0
mummy,0,0,1
mumps,1,0,0
munch,0,0,1
mundane,0,0,1
municipal,0,0,1
municipality,0,0,1
mural,0,0,1
murder,1,0,0
murderer,1,0,0
murderous,1,0,0
murky,1,0,0
murmur,0,0,1
muscle,0,0,1
muscular,0,1,0
muse,0,0,1
muses,0,0,1
museum,0,0,1
mush,0,0,1
mushroom,0,0,1
music,0,1,0
musical,0,1,0
musician,0,0,1
musing,0,0,1
musk,0,0,1
musket,0,0,1
muslin,0,0,1
muss,1,0,0
mustang,0,0,1
mustard,0,0,1
muster,0,0,1
musty,1,0,0
mutable,0,1,0
mutant,1,0,0
mutation,0,0,1
mutilated,1,0,0
mutilation,1,0,0
mutiny,1,0,0
mutter,1,0,0
mutton,0,0,1
mutual,0,1,0
mutually,0,0,1
muzzle,1,0,0
myopia,1,0,0
myopic,0,0,1
myriad,0,0,1
mysterious,0,0,1
mystery,0,0,1
mystic,0,0,1
mystical,0,0,1
mysticism,0,0,1
myth,0,0,1
mythic,0,0,1
mythical,0,0,1
mythological,0,0,1
mythology,0,0,1
nab,1,0,0
nadir,1,0,0
nag,1,0,0
nail,0,0,1
naive,1,0,0
naked,0,0,1
named,0,0,1
nameless,1,0,0
namesake,0,0,1
naming,0,0,1
nanny,0,0,1
nanometer,0,0,1
nap,0,1,0
nape,0,0,1
napkin,0,0,1
napping,0,0,1
nappy,1,0,0
narcotic,1,0,0
narrate,0,0,1
narration,0,0,1
narrative,0,0,1
narrator,0,0,1
narrow,0,0,1
narrowing,0,0,1
nascent,0,0,1
nasty,1,0,0
natal,0,0,1
nation,0,0,1
national,0,0,1
nationality,0,0,1
native,0,0,1
nativity,0,0,1
naturalist,0,1,0
naturalization,0,0,1
naturalized,0,0,1
naturally,0,0,1
nature,0,0,1
naught,0,0,1
naughty,1,0,0
nausea,1,0,0
nauseous,1,0,0
nautical,0,0,1
naval,0,0,1
nave,0,0,1
navel,0,0,1
navigable,0,1,0
navigate,0,0,1
navigation,0,0,1
navigator,0,0,1
navy,0,0,1
nay,1,0,0
neatly,0,1,0
nebula,0,0,1
nebulae,0,0,1
nebulous,0,0,1
necessarily,0,0,1
necessitate,0,0,1
necessities,0,0,1
necessity,0,0,1
neck,0,0,1
necklace,0,0,1
necrosis,0,0,1
nectar,0,1,0
needful,1,0,0
needle,0,1,0
needless,0,0,1
needy,1,0,0
nefarious,1,0,0
negation,1,0,0
negative,1,0,0
neglect,1,0,0
neglected,1,0,0
neglecting,1,0,0
negligence,1,0,0
negligent,1,0,0
negligently,1,0,0
negligible,0,0,1
negotiate,0,1,0
negotiation,0,0,1
negotiator,0,1,0
negro,1,0,0
neigh,0,0,1
neighbor,0,1,0
neighborhood,0,0,1
neighboring,0,0,1
neonatal,0,0,1
neophyte,0,0,1
neoprene,0,0,1
nephew,0,0,1
nepotism,1,0,0
nerve,0,1,0
nervous,1,0,0
nervousness,0,0,1
ness,0,0,1
nest,0,0,1
nestle,0,1,0
nestling,0,0,1
net,0,0,1
nether,1,0,0
netting,0,0,1
nettle,1,0,0
network,0,0,1
neuralgia,1,0,0
neurology,0,0,1
neurosis,1,0,0
neurotic,1,0,0
neuter,0,0,1
neutral,0,0,1
neutrality,0,0,1
neutralize,0,0,1
newborn,0,0,1
newcomer,0,0,1
newly,0,0,1
newness,0,0,1
news,0,0,1
newspaper,0,0,1
newsstand,0,0,1
nib,0,0,1
nibble,0,0,1
niche,0,0,1
nichts,0,0,1
nick,0,0,1
nickel,0,0,1
nickname,0,0,1
nicotine,1,0,0
niece,0,0,1
nigger,1,0,0
nigh,0,0,1
night,0,0,1
nightfall,0,0,1
nightingale,0,0,1
nightmare,1,0,0
nihilism,1,0,0
nil,0,0,1
nimble,0,0,1
ninety,0,0,1
ninth,0,0,1
nip,0,0,1
nipple,0,0,1
nix,0,0,1
nobility,0,1,0
noble,0,1,0
nobleman,0,1,0
nocturnal,0,0,1
nod,0,0,1
nodding,0,0,1
node,0,0,1
nodular,0,0,1
nodule,0,0,1
noise,1,0,0
noisy,1,0,0
nomad,0,0,1
nomadic,0,0,1
nomenclature,0,0,1
nominal,0,0,1
nominate,0,0,1
nomination,0,1,0
nominee,0,0,1
nonce,0,0,1
noncompliance,1,0,0
nondescript,0,0,1
nonexistent,0,0,1
nonpayment,0,0,1
nonresident,0,0,1
nonsense,1,0,0
nonsensical,1,0,0
noodle,0,0,1
nook,0,0,1
noon,0,0,1
noose,1,0,0
norm,0,0,1
normal,0,0,1
normalcy,0,0,1
normality,0,1,0
nose,0,0,1
nostalgia,0,0,1
nostril,0,0,1
notable,0,1,0
notables,0,1,0
notably,0,0,1
notary,0,0,1
notation,0,0,1
notch,0,0,1
notched,0,0,1
note,0,0,1
notebook,0,0,1
noted,0,1,0
noteworthy,0,0,1
nothingness,1,0,0
notice,0,0,1
noticeable,0,0,1
notification,0,0,1
notify,0,0,1
notion,0,1,0
notional,0,0,1
notoriety,1,1,0
notwithstanding,0,0,1
nought,0,0,1
noun,0,0,1
nourish,0,0,1
nourishment,0,1,0
nouveau,0,0,1
novelty,0,0,1
novice,0,0,1
nowadays,0,0,1
noxious,1,0,0
nozzle,0,0,1
nuance,0,0,1
nuances,0,0,1
nucleus,0,0,1
nude,0,0,1
nudge,0,0,1
nudity,0,0,1
nugget,0,0,1
nuisance,1,0,0
nul,1,0,0
null,0,0,1
nullify,1,0,0
numb,1,0,0
number,0,0,1
numbering,0,0,1
numbers,0,1,0
numbness,1,0,0
numeral,0,0,1
numerator,0,0,1
numerical,0,0,1
numerically,0,0,1
numerous,0,0,1
nun,1,0,0
nurse,0,1,0
nursery,0,1,0
nurture,0,1,0
nutmeg,0,0,1
nutrition,0,0,1
nutritious,0,1,0
nutritive,0,0,1
nuts,0,0,1
nymph,0,0,1
oaf,1,0,0
oak,0,1,0
oar,0,0,1
oasis,0,1,0
oath,0,1,0
oatmeal,0,0,1
obedience,0,1,0
obedient,0,0,1
obediently,0,0,1
obelisk,0,0,1
obese,1,0,0
obesity,1,0,0
obey,0,0,1
obi,1,0,0
obit,1,0,0
obituary,1,0,0
object,0,0,1
objection,1,0,0
objectionable,1,0,0
objective,0,1,0
obligation,0,0,1
obligatory,0,0,1
oblige,1,0,0
obliged,0,0,1
obliging,0,1,0
obligor,1,0,0
oblique,0,0,1
obliterate,1,0,0
obliterated,1,0,0
obliteration,1,0,0
oblivion,1,0,0
oblivious,0,0,1
oblong,0,0,1
obnoxious,1,0,0
oboe,0,0,1
obscene,1,0,0
obscenity,1,0,0
obscure,0,0,1
obscured,0,0,1
obscurity,1,0,0
observance,0,0,1
observant,0,1,0
observation,0,0,1
observatory,0,0,1
observe,0,0,1
observer,0,0,1
observing,0,0,1
obsession,0,0,1
obsolescence,0,0,1
obstacle,1,0,0
obstetrician,0,0,1
obstetrics,0,0,1
obstinate,1,0,0
obstruct,1,0,0
obstruction,1,0,0
obstructive,1,0,0
obtain,0,0,1
obtainable,0,1,0
obtuse,1,0,0
obverse,0,0,1
obvious,0,1,0
ocarina,0,0,1
occasion,0,0,1
occasional,0,0,1
occasionally,0,0,1
occlusion,0,0,1
occult,1,0,0
occupancy,0,0,1
occupant,0,1,0
occupation,0,1,0
occupied,0,0,1
occupier,0,0,1
occupy,0,1,0
occupying,0,0,1
occur,0,0,1
occurrence,0,0,1
ocean,0,0,1
oceanic,0,0,1
octagon,0,0,1
octave,0,0,1
octopus,0,0,1
ocular,0,0,1
oddity,1,0,0
odds,0,0,1
ode,0,0,1
odious,1,0,0
odometer,0,0,1
odor,1,0,0
oestrogen,0,0,1
oeuvre,0,0,1
offal,0,0,1
offend,1,0,0
offended,1,0,0
offender,1,0,0
offense,1,0,0
offensive,1,0,0
offer,0,1,0
offered,0,0,1
offering,0,0,1
offhand,1,0,0
office,0,0,1
officer,0,1,0
offices,0,0,1
official,0,0,1
officiate,0,0,1
offing,1,0,0
offload,0,0,1
offset,0,1,0
offshoot,0,1,0
offside,0,0,1
oft,0,0,1
oftentimes,0,0,1
ogre,1,0,0
oil,0,0,1
oils,0,0,1
ointment,0,0,1
older,0,0,1
olfactory,1,0,0
oligarchy,1,0,0
olive,0,0,1
omega,0,0,1
omelet,0,0,1
omen,1,0,0
ominous,1,0,0
omission,0,0,1
omit,1,0,0
omitted,0,0,1
omnibus,0,0,1
omnipotence,1,1,0
omnipotent,0,0,1
omnipresent,0,0,1
omniscient,0,1,0
oncologist,0,0,1
oneness,0,0,1
onerous,1,0,0
oneself,0,0,1
ongoing,0,0,1
onion,0,0,1
onset,0,0,1
onslaught,0,0,1
ontology,0,0,1
onus,1,0,0
onward,0,0,1
onyx,0,0,1
ooze,1,0,0
oozing,0,0,1
opacity,0,0,1
opal,0,0,1
opaque,1,0,0
ope,0,0,1
open,0,0,1
opener,0,0,1
opening,0,0,1
openly,0,0,1
openness,0,1,0
opera,0,1,0
operatic,1,0,0
operation,0,0,1
operations,0,0,1
operative,0,0,1
operator,0,0,1
ophthalmic,0,0,1
ophthalmologist,0,0,1
opiate,1,0,0
opinion,0,0,1
opinionated,1,0,0
opium,1,0,0
opponent,1,0,0
opportune,0,1,0
opportunism,0,0,1
opportunity,0,1,0
oppose,1,0,0
opposed,1,0,0
opposing,0,0,1
opposite,0,0,1
opposites,0,0,1
opposition,1,0,0
oppress,1,0,0
oppression,1,0,0
oppressive,1,0,0
oppressor,1,0,0
optic,0,0,1
optical,0,0,1
optics,0,0,1
optimism,0,1,0
optimist,0,1,0
option,0,1,0
optional,0,1,0
optionally,0,0,1
options,0,0,1
optometrist,0,0,1
opulence,0,0,1
opulent,0,0,1
opus,0,0,1
oracle,0,1,0
oral,0,0,1
orange,0,0,1
oration,0,1,0
orator,0,0,1
oratory,0,0,1
orb,0,0,1
orbit,0,0,1
orbiting,0,0,1
orbs,0,0,1
